Score,City,X,Y,Name,Type_1,City_1,FullAddres
96.53,Albuquerque,-106.580584,35.17720892,Domingo Baca Farmers' Market,Farmers' Market,Albuquerque,7521 Carmel Drive Ne
92.17,Albuquerque,-106.6567764,35.08544749,DOWNTOWN GROWERS MARKET,Farmers' Market,ALBUQUERQUE,8TH ST ROBINSON PARK
99.08,Albuquerque,-106.6483576,35.08541228,Downtown Growers' Market,Farmers' Market,Albuquerque,810 Copper Ave
97.2,Albuquerque,-106.5297416,35.07166445,Dulceria Puebla,Small Grocery Store,Albuquerque,9001 Central NE
100,Albuquerque,-106.5297416,35.07166445,Dulceria Puebla Llc,Small Grocery Store,Albuquerque,9001 Central Ave NE
97.24,Albuquerque,-106.6814459,35.02694564,Earthgrains 40057003,Bakery Specialty,ALBUQUERQUE,1698 RIO BRAVO SW
100,Tijeras,-106.3389837,35.10639472,EAST MOUNTAIN CHEVRON,Large Grocery Store,Tijeras,844 State Highway 333
97.31,Albuquerque,-106.5227763,35.13073145,EDWARDS MEAT #1,Medium Grocery Store,ALBUQUERQUE,11200 MONTGOMERY NE
100,Albuquerque,-106.7133309,35.03496265,El Centenario Llc,Large Grocery Store,Albuquerque,2821 Phillips Dr SW
100,Albuquerque,-106.7133309,35.03496265,El Centenario Llc,Large Grocery Store,Albuquerque,2821 Phillips Dr SW
100,Albuquerque,-106.7133309,35.03496265,El Centenario Llc,Large Grocery Store,Albuquerque,2821 Phillips Dr SW
100,Albuquerque,-106.701174,34.90752237,EL HERRADERO,Small Grocery Store,Albuquerque,1605 Isleta Blvd SW
100,Albuquerque,-106.701174,34.90752237,El Herradero,Large Grocery Store,Albuquerque,1605 Isleta Blvd SW
100,Albuquerque,-106.7133309,35.03496265,El Herradero Meat Market,Supermarket,Albuquerque,2821 Phillips Dr SW
100,Albuquerque,-106.701174,34.90752237,EL MEZQUITE MARKET,Supermarket,Albuquerque,3765 Isleta Blvd SW
100,Albuquerque,-106.5775774,35.0603985,EL MEZQUITE MARKET,Supermarket,Albuquerque,201 San Pedro Dr SE
100,Albuquerque,-106.701174,34.90752237,EL MEZQUITE MARKET,Supermarket,Albuquerque,3765 Isleta Blvd SW
100,Albuquerque,-106.701174,34.90752237,EL MEZQUITE MARKET,Supermarket,Albuquerque,3765 Isleta Blvd SW
100,Albuquerque,-106.5775774,35.0603985,EL MEZQUITE MARKET,Supermarket,Albuquerque,201 San Pedro Dr SE
100,Albuquerque,-106.7429044,35.07451273,EL MEZQUITE MARKET,Supermarket,Albuquerque,100 98th St NW
