Score,City,X,Y,Name,Type_1,city,county,FullAddress
100,Albuquerque,-106.6455152,35.07019122,STADIUM SUPER,Supermarket,Albuquerque,BERNALILLO,1312 Broadway Blvd SE
100,Albuquerque,-106.6455152,35.07019122,STADIUM SUPER MARKET,Supermarket,Albuquerque,BERNALILLO,1312 Broadway Blvd SE
100,Albuquerque,-106.6455152,35.07019122,Stadium Super Market,Combination Grocery/Other,Albuquerque,BERNALILLO,1312 Broadway Blvd SE
100,Albuquerque,-106.5293204,35.07161784,Star Bakery,Bakery Specialty,Albuquerque,BERNALILLO,9012 Central Ave SE
100,Albuquerque,-106.6378575,35.13530483,Star Medical Specialties 4,Combination Grocery/Other,Albuquerque,BERNALILLO,5244 2nd St NW
100,Albuquerque,-106.5194613,35.10894377,Sufyananda Llc,Medium Grocery Store,Albuquerque,BERNALILLO,10700 Menaul Blvd NE
100,Albuquerque,-106.5880452,35.08741625,SUNFLOWER FARMERS MARKET,Super Store,Albuquerque,BERNALILLO,5112 Lomas Blvd NE
100,Albuquerque,-106.5863396,35.14182498,Sunflower Farmers Market ABQ30,Super Store,Albuquerque,BERNALILLO,6300 San Mateo Blvd NE
100,Albuquerque,-106.51521,35.13073569,SUNFLOWER FARMERS MARKET ABQ27,Super Store,Albuquerque,BERNALILLO,11205 Montgomery Blvd NE
100,Albuquerque,-106.6430156,35.20715915,SUNFLOWER MARKET,Super Store,Albuquerque,BERNALILLO,10701 Coors Blvd NW
99.2,Albuquerque,-106.6940222,35.16086789,SUNSET FOODS,Meat/Poultry Specialty,Albuquerque,BERNALILLO,6961 TAYLOR RANCH RD NW
100,Albuquerque,-106.6589837,35.09534981,SUNSHINE FOOD MARKET,Small Grocery Store,Albuquerque,BERNALILLO,912 12th St NW
100,Albuquerque,-106.5984835,35.10928651,Surplus Grocery Outlet,Combination Grocery/Other,Albuquerque,BERNALILLO,4015 Menaul Blvd Ne
100,Albuquerque,-106.6161397,35.12379743,"Sysco New Mexico, LLC 66",Supermarket,Albuquerque,BERNALILLO,601 Comanche Rd NE
100,Albuquerque,-106.5685743,35.07433481,TA LIN SUPERMARKET,Supermarket,Albuquerque,BERNALILLO,230 LOUISIANA BLVD. SE
95.55,Albuquerque,-106.569396,35.13065725,TAKE & BAKE PIZZA,Small Grocery Store,Albuquerque,BERNALILLO,4770 Montgomery Blvd NE Ste A102
100,Albuquerque,-106.5685717,35.07549,TALIN MARKET WORLD FOOD FARE,Supermarket,Albuquerque,BERNALILLO,88 Louisiana Blvd SE
100,Albuquerque,-106.5274613,35.08704067,Target T 357,Super Store,Albuquerque,BERNALILLO,11120 Lomas Blvd NE
99.2,Albuquerque,-106.5686521,35.09497602,Target 2813,Super Store,Albuquerque,BERNALILLO,2120 Louisiana Blvd NE
100,Albuquerque,-106.6642807,35.1846981,Target Store 625,Super Store,Albuquerque,BERNALILLO,9371 Coors Blvd NW
100,Albuquerque,-106.580885,35.17402739,TARGET STORE T 2031,Super Store,Albuquerque,BERNALILLO,6100 Paseo del Norte NE
